City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
509,Sovetskiy,61.3614,63.5842,12.38,93,87,10.89,RU,1674623087
510,Mwinilunga,-11.7358,24.4293,61.59,97,99,5.44,ZM,1674623088
511,Matamoros,25.5333,-103.25,51.12,22,3,6.8,MX,1674623088
512,Ermelo,-26.5333,29.9833,59.14,78,53,10.67,ZA,1674622814
513,Bilibino,68.0546,166.4372,-15.11,71,100,4.23,RU,1674623089
514,Kismayo,-0.3582,42.5454,79.47,78,27,16.4,SO,1674623089
515,Chincha Alta,-13.4099,-76.1323,68.59,86,96,1.74,PE,1674623090
516,Vondrozo,-22.8167,47.2833,70.75,98,98,2.53,MG,1674623090
517,Kandrian,-6.2167,149.55,77.9,90,100,3.89,PG,1674623091
518,Quryq,43.2,51.65,30.2,34,6,2.98,KZ,1674623091
519,Usol'ye,59.4268,56.6808,6.96,96,100,7.14,RU,1674623091
520,Koforidua,6.0941,-0.2591,73.74,96,16,2.62,GH,1674623092
521,Katsuura,35.1333,140.3,34.52,29,49,11.18,JP,1674623093
522,Necochea,-38.5473,-58.7368,60.06,56,37,7.49,AR,1674623093
523,Takoradze,4.8845,-1.7554,78.69,86,3,5.08,GH,1674623094
524,Batemans Bay,-35.7167,150.1833,76.1,60,5,11.5,AU,1674622824
525,Nishihara,26.1842,127.7558,58.66,57,75,14.97,JP,1674623094
526,Vallenar,-28.5708,-70.7581,72.16,58,0,3.83,CL,1674623095
527,Zhezkazgan,47.8043,67.7144,-5.82,77,40,2.24,KZ,1674623095
528,Santa María del Río,21.8,-100.75,52.75,30,0,4.9,MX,1674623096
529,Nosy Varika,-20.5833,48.5333,77.61,87,94,1.03,MG,1674623096
530,Santa Cruz del Sur,20.7147,-77.9956,72.75,75,3,12.21,CU,1674623097
531,Vanimo,-2.6741,141.3028,84.27,68,88,7.63,PG,1674623097
532,Russell,32.3502,-85.1999,52.41,67,100,9.24,US,1674622815
533,Gizo Government Station,-8.103,156.8419,83.37,71,100,1.81,SB,1674623098
534,Tuatapere,-46.1333,167.6833,64.85,59,44,7.96,NZ,1674622839
535,Hamilton,39.1834,-84.5333,39.42,79,100,3.44,US,1674622901
536,La Ronge,55.1001,-105.2842,16.02,92,100,4.61,CA,1674623099
537,Nampula,-15.1165,39.2666,73.08,92,100,3.13,MZ,1674622956
538,Beloha,-25.1667,45.05,79.84,71,86,21.59,MG,1674622912
539,Kralendijk,12.15,-68.2667,78.78,73,20,14.97,BQ,1674623100
540,Mbuji-Mayi,-6.15,23.6,68.23,95,100,3.31,CD,1674623100
541,Abancay,-13.6339,-72.8814,58.51,89,98,0.85,PE,1674623100
542,Akdepe,42.0551,59.3788,29.77,50,100,3.18,TM,1674623101
543,Viedma,-40.8135,-62.9967,64.65,23,2,10.83,AR,1674622812
544,Shakawe,-18.3667,21.85,67.19,86,100,4.14,BW,1674623102
545,Ilhabela,-23.7781,-45.3581,74.43,89,13,3.51,BR,1674623102
546,Baiyin,36.5583,104.2081,22.17,17,62,4.68,CN,1674623103
547,Jizan,17.3333,42.6667,75.27,72,0,3.8,SA,1674623104
548,Kaeo,-35.1,173.7833,69.1,65,21,12.95,NZ,1674623105
549,Mporokoso,-9.3727,30.125,62.46,93,100,2.04,ZM,1674623105
550,San Quintín,30.4833,-115.95,54.72,57,33,3.15,MX,1674623106
551,Curuguaty,-24.4694,-55.6945,73.9,65,8,2.46,PY,1674623106
552,Tete,-16.1564,33.5867,75.29,100,75,3.44,MZ,1674622855
553,Linhares,-19.3911,-40.0722,74.37,97,100,5.08,BR,1674622949
554,Aswān,24.0934,32.907,57.13,47,0,7.16,EG,1674623107
555,Ban Nahin,18.2418,104.2122,77.74,27,1,1.25,LA,1674623108
556,Saint Andrews,34.0454,-81.1293,45.99,65,75,5.75,US,1674623108
557,Santa Isabel Rio Negro,-0.4139,-65.0192,71.6,90,85,1.5,BR,1674623109
558,Hambantota,6.1241,81.1185,82.74,78,20,5.75,LK,1674623110
559,Poum,-20.2333,164.0167,83.03,75,13,6.26,NC,1674623110
560,El Batey,19.7667,-70.5167,70.23,86,5,7.61,DO,1674623110
561,Ketchikan,55.3422,-131.6461,46.87,93,100,9.22,US,1674623111
562,Chapais,49.7834,-74.8492,-19.91,100,43,2.57,CA,1674622981
563,Mont-Dore,-22.2833,166.5833,86.0,99,39,8.57,NC,1674623112
564,Nālūt,30.3333,10.85,42.13,78,0,10.13,LY,1674623112
565,Monrovia,6.3005,-10.7969,74.03,88,100,10.31,LR,1674622817
566,Porto Walter,-8.2686,-72.7439,69.75,97,21,2.66,BR,1674623113
567,Bull Savanna,17.8868,-77.5902,69.67,79,28,8.95,JM,1674623113
568,Kungurtug,50.5994,97.5228,-2.7,92,100,1.28,RU,1674623114
569,Sítio Novo do Tocantins,-5.5183,-47.4611,71.92,97,30,2.13,BR,1674622946
570,Grants,35.1473,-107.8514,26.83,59,100,10.36,US,1674623115
571,Kristinehamn,59.3098,14.1081,43.36,98,100,15.77,SE,1674623115
572,Egvekinot,66.3167,-179.1667,-15.92,84,9,12.44,RU,1674623116
573,Taltal,-25.4,-70.4833,68.04,85,43,2.39,CL,1674622821
574,Port Shepstone,-30.7414,30.455,72.63,85,98,23.04,ZA,1674623116
575,Inhambane,-23.865,35.3833,81.68,72,44,15.01,MZ,1674623117
576,Ust'-Koksa,50.2696,85.6108,2.91,89,100,1.52,RU,1674623117
577,Boyolangu,-8.1181,111.8935,84.11,73,81,4.76,ID,1674623118
578,San Fernando del Valle de Catamarca,-28.4696,-65.7852,81.77,58,45,3.0,AR,1674623118
579,Banda Aceh,5.5577,95.3222,83.91,66,90,8.84,ID,1674623119
580,Tsiroanomandidy,-18.7667,46.0333,67.5,94,100,13.8,MG,1674623119
